customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,Segment
1047,8,19,243200.53,4,3,3,10,Loyal Customers
1048,11,22,332612.58,3,4,5,12,Champions
1049,32,16,255244.11,1,2,3,6,At Risk
1050,3,20,201163.54,5,3,2,10,Loyal Customers
1051,25,14,140811.51,2,1,1,4,Lost / Inactive
1052,8,18,241303.53,4,2,3,9,Loyal Customers
1053,22,24,208893.47,2,5,2,9,Loyal Customers
1054,13,19,197142.71,3,3,2,8,At Risk
1055,17,16,183837.72,3,2,2,7,At Risk
1056,0,15,169291.27,5,1,1,7,At Risk
1057,20,21,290576.96,2,4,4,10,Loyal Customers
1058,27,28,310149.18,2,5,5,12,Champions
1059,39,15,161940.74,1,1,1,3,Lost / Inactive
1060,18,19,244747.06,3,3,3,9,Loyal Customers
1061,17,20,167440.78,3,3,1,7,At Risk
1062,11,24,304542.32,3,5,5,13,Champions
1063,2,13,184895.16,5,1,2,8,At Risk
1064,22,19,232894.6,2,3,3,8,At Risk
1065,10,16,239614.09999999998,4,2,3,9,Loyal Customers
1066,19,13,162271.63,2,1,1,4,Lost / Inactive
1067,11,19,324536.83,3,3,5,11,Loyal Customers
1068,8,23,333240.75,4,4,5,13,Champions
1069,3,21,263703.01,5,4,4,13,Champions
1070,8,13,121190.16,4,1,1,6,At Risk
1071,1,21,265994.92,5,4,4,13,Champions
1072,14,22,283034.41000000003,3,4,4,11,Loyal Customers
1073,2,17,268188.16,5,2,4,11,Loyal Customers
1074,35,23,229319.18,1,4,3,8,At Risk
1075,48,25,228244.01,1,5,3,9,Loyal Customers
1076,44,13,141510.55,1,1,1,3,Lost / Inactive
1077,9,17,341785.61,4,2,5,11,Loyal Customers
1078,10,21,232679.47,4,4,3,11,Loyal Customers
1079,36,7,113251.64,1,1,1,3,Lost / Inactive
1080,6,15,163808.73,4,1,1,6,At Risk
1081,15,21,350039.4,3,4,5,12,Champions
1082,24,15,213385.9,2,1,2,5,Lost / Inactive
1083,1,26,273348.47,5,5,4,14,Champions
1084,6,13,179503.58,4,1,2,7,At Risk
1085,4,21,287057.68,5,4,4,13,Champions
1086,10,20,282301.52,4,3,4,11,Loyal Customers
1087,1,14,194131.97,5,1,2,8,At Risk
1088,17,21,248626.46,3,4,3,10,Loyal Customers
1089,11,27,320985.42,3,5,5,13,Champions
1090,96,9,112992.88,1,1,1,3,Lost / Inactive
1091,13,20,167173.02000000002,3,3,1,7,At Risk
1092,8,23,350554.27,4,4,5,13,Champions
1093,15,17,254195.76,3,2,3,8,At Risk
1094,32,20,303589.87,1,3,5,9,Loyal Customers
1095,21,22,208748.76,2,4,2,8,At Risk
1096,16,18,227735.63,3,2,3,8,At Risk
1097,10,24,294218.97000000003,4,5,4,13,Champions
1098,24,26,253356.1,2,5,3,10,Loyal Customers
1099,9,18,297076.85,4,2,4,10,Loyal Customers
1100,15,26,414756.04,3,5,5,13,Champions
1101,52,18,146236.31,1,2,1,4,Lost / Inactive
1102,18,16,141078.03,3,2,1,6,At Risk
1103,34,23,184673.58000000002,1,4,2,7,At Risk
1104,18,14,182537.37,3,1,2,6,At Risk
1105,6,25,305814.32,4,5,5,14,Champions
1106,8,17,206396.21000000002,4,2,2,8,At Risk
1107,11,21,270570.16,3,4,4,11,Loyal Customers
1108,20,25,219921.0,2,5,2,9,Loyal Customers
1109,1,15,169697.55,5,1,1,7,At Risk
1110,36,28,370798.73,1,5,5,11,Loyal Customers
1111,0,23,359585.81,5,4,5,14,Champions
1112,26,27,282105.03,2,5,4,11,Loyal Customers
1113,17,16,173303.93,3,2,1,6,At Risk
1114,35,9,107154.02,1,1,1,3,Lost / Inactive
1115,32,23,330236.51,1,4,5,10,Loyal Customers
1116,15,22,212390.03,3,4,2,9,Loyal Customers
1117,12,29,384753.31,3,5,5,13,Champions
1118,7,19,266692.55,4,3,4,11,Loyal Customers
1119,3,18,220279.38,5,2,2,9,Loyal Customers
1120,6,13,136106.8,4,1,1,6,At Risk
1121,7,24,303981.87,4,5,5,14,Champions
1122,9,13,92499.54,4,1,1,6,At Risk
1123,72,13,166804.79,1,1,1,3,Lost / Inactive
1124,5,19,228638.37,4,3,3,10,Loyal Customers
1125,24,24,205108.03,2,5,2,9,Loyal Customers
1126,47,20,208472.93,1,3,2,6,At Risk
1127,25,21,181994.1,2,4,2,8,At Risk
1128,4,22,333340.92,5,4,5,14,Champions
1129,6,25,251589.47,4,5,3,12,Champions
1130,13,16,263167.87,3,2,4,9,Loyal Customers
1131,6,20,295757.06,4,3,4,11,Loyal Customers
1132,68,16,166129.24000000002,1,2,1,4,Lost / Inactive
1133,9,23,294843.97000000003,4,4,4,12,Champions
1134,4,12,115804.31,5,1,1,7,At Risk
1135,53,17,220251.57,1,2,2,5,Lost / Inactive
1136,15,22,240433.65,3,4,3,10,Loyal Customers
1137,60,19,268734.94,1,3,4,8,At Risk
1138,1,18,184061.32,5,2,2,9,Loyal Customers
1139,0,17,226661.49,5,2,3,10,Loyal Customers
1140,39,25,317550.17,1,5,5,11,Loyal Customers
1141,44,13,148189.81,1,1,1,3,Lost / Inactive
1142,41,21,308831.16000000003,1,4,5,10,Loyal Customers
1143,12,21,265494.03,3,4,4,11,Loyal Customers
1144,3,20,270999.5,5,3,4,12,Champions
1145,26,26,298110.28,2,5,4,11,Loyal Customers
1146,21,28,442654.16,2,5,5,12,Champions
1147,12,25,310557.78,3,5,5,13,Champions
1148,4,26,288552.5,5,5,4,14,Champions
1149,21,19,235883.75,2,3,3,8,At Risk
1150,19,20,243269.28,2,3,3,8,At Risk
1151,15,24,345741.67,3,5,5,13,Champions
1152,38,17,229677.48,1,2,3,6,At Risk
1153,7,33,340648.14,4,5,5,14,Champions
1154,8,18,221753.0,4,2,3,9,Loyal Customers
1155,59,19,208086.36000000002,1,3,2,6,At Risk
1156,12,18,254021.34,3,2,3,8,At Risk
1157,18,20,155917.09,3,3,1,7,At Risk
1158,72,11,172650.66,1,1,1,3,Lost / Inactive
1159,50,24,290342.53,1,5,4,10,Loyal Customers
1160,1,26,473632.32,5,5,5,15,Champions
1161,9,22,284460.93,4,4,4,12,Champions
1162,67,22,330301.49,1,4,5,10,Loyal Customers
1163,39,24,244374.99,1,5,3,9,Loyal Customers
1164,29,17,166805.59,2,2,1,5,Lost / Inactive
1165,16,19,229459.12,3,3,3,9,Loyal Customers
1166,4,15,236010.12,5,1,3,9,Loyal Customers
1167,15,17,167063.09,3,2,1,6,At Risk
1168,7,16,211124.69,4,2,2,8,At Risk
1169,18,16,175499.79,3,2,1,6,At Risk
1170,22,20,316685.67,2,3,5,10,Loyal Customers
1171,1,15,254289.80000000002,5,1,3,9,Loyal Customers
1172,36,29,362184.24,1,5,5,11,Loyal Customers
1173,13,13,144320.54,3,1,1,5,Lost / Inactive
1174,2,20,226918.29,5,3,3,11,Loyal Customers
1175,16,16,137102.9,3,2,1,6,At Risk
1176,1,20,233225.51,5,3,3,11,Loyal Customers
1177,33,18,203155.63999999998,1,2,2,5,Lost / Inactive
1178,22,21,263308.67,2,4,4,10,Loyal Customers
1179,2,19,289329.93,5,3,4,12,Champions
1180,8,23,276785.43,4,4,4,12,Champions
1181,25,20,262212.24,2,3,4,9,Loyal Customers
1182,9,21,254188.46,4,4,3,11,Loyal Customers
1183,13,19,203123.39,3,3,2,8,At Risk
1184,20,12,189504.53,2,1,2,5,Lost / Inactive
1185,1,12,98965.64,5,1,1,7,At Risk
1186,9,27,359041.99,4,5,5,14,Champions
1187,27,29,347348.87,2,5,5,12,Champions
1188,4,19,220806.74,5,3,3,11,Loyal Customers
1189,31,23,280867.19,2,4,4,10,Loyal Customers
1190,18,21,258640.88999999998,3,4,4,11,Loyal Customers
1191,8,28,318730.38,4,5,5,14,Champions
1192,25,12,88534.94,2,1,1,4,Lost / Inactive
1193,1,14,223437.31,5,1,3,9,Loyal Customers
1194,38,19,187612.65,1,3,2,6,At Risk
1195,26,18,203629.09999999998,2,2,2,6,At Risk
1196,6,15,217990.78,4,1,2,7,At Risk
1197,20,20,234584.16,2,3,3,8,At Risk
1198,11,14,172418.99,3,1,1,5,Lost / Inactive
1199,3,15,211222.73,5,1,2,8,At Risk
1200,28,21,213136.7,2,4,2,8,At Risk
1201,85,20,306037.25,1,3,5,9,Loyal Customers
1202,15,17,206173.57,3,2,2,7,At Risk
1203,17,13,123691.47,3,1,1,5,Lost / Inactive
1204,10,12,121393.93,4,1,1,6,At Risk
1205,21,21,304404.26,2,4,5,11,Loyal Customers
1206,23,16,165333.99,2,2,1,5,Lost / Inactive
1207,0,24,287927.15,5,5,4,14,Champions
1208,17,20,235629.16,3,3,3,9,Loyal Customers
1209,0,17,200906.02,5,2,2,9,Loyal Customers
1210,20,15,174403.47999999998,2,1,1,4,Lost / Inactive
1211,5,15,132242.55,4,1,1,6,At Risk
1212,2,19,249121.0,5,3,3,11,Loyal Customers
1213,6,30,471554.28,4,5,5,14,Champions
1214,17,24,437501.75,3,5,5,13,Champions
1215,4,22,410593.26,5,4,5,14,Champions
1216,14,20,260924.24,3,3,4,10,Loyal Customers
1217,1,21,219685.38,5,4,2,11,Loyal Customers
1218,20,14,171224.97,2,1,1,4,Lost / Inactive
1219,3,24,328919.17000000004,5,5,5,15,Champions
1220,43,16,240273.13999999998,1,2,3,6,At Risk
1221,9,21,252723.97,4,4,3,11,Loyal Customers
1222,6,20,271061.47,4,3,4,11,Loyal Customers
1223,18,21,242917.31,3,4,3,10,Loyal Customers
1224,43,17,260826.66,1,2,4,7,At Risk
1225,1,24,315487.39999999997,5,5,5,15,Champions
1226,33,24,221992.89,1,5,3,9,Loyal Customers
1227,5,18,256304.66,4,2,3,9,Loyal Customers
1228,0,21,356900.16000000003,5,4,5,14,Champions
1229,33,14,97679.13,1,1,1,3,Lost / Inactive
1230,70,15,228495.84,1,1,3,5,Lost / Inactive
1231,2,18,220000.75,5,2,2,9,Loyal Customers
1232,11,21,202804.78,3,4,2,9,Loyal Customers
1233,2,11,129910.18000000001,5,1,1,7,At Risk
1234,56,15,89709.67,1,1,1,3,Lost / Inactive
1235,4,20,187263.18,5,3,2,10,Loyal Customers
1236,34,25,380014.88,1,5,5,11,Loyal Customers
1237,7,14,155785.75,4,1,1,6,At Risk
1238,20,23,313353.86,2,4,5,11,Loyal Customers
1239,5,12,137097.68,4,1,1,6,At Risk
1240,24,14,188430.62,2,1,2,5,Lost / Inactive
1241,3,20,211909.76,5,3,2,10,Loyal Customers
1242,66,11,146922.27000000002,1,1,1,3,Lost / Inactive
1243,3,12,128761.57,5,1,1,7,At Risk
1244,30,15,210016.08,2,1,2,5,Lost / Inactive
1245,1,25,357438.38,5,5,5,15,Champions
1246,14,27,309263.62,3,5,5,13,Champions
1247,3,13,145791.27000000002,5,1,1,7,At Risk
1248,44,17,261613.93,1,2,4,7,At Risk
1249,5,17,222439.05,4,2,3,9,Loyal Customers
1250,0,23,279021.07,5,4,4,13,Champions
1251,100,15,214863.75,1,1,2,4,Lost / Inactive
1252,5,15,138048.86,4,1,1,6,At Risk
1253,1,17,189616.81,5,2,2,9,Loyal Customers
1254,58,12,144615.01,1,1,1,3,Lost / Inactive
1255,31,18,267510.37,2,2,4,8,At Risk
1256,6,14,156568.45,4,1,1,6,At Risk
1257,2,18,171022.66,5,2,1,8,At Risk
1258,44,14,132054.49,1,1,1,3,Lost / Inactive
1259,27,24,213566.99,2,5,2,9,Loyal Customers
1260,40,14,155323.56,1,1,1,3,Lost / Inactive
1261,8,17,134060.12,4,2,1,7,At Risk
1262,12,11,77996.68,3,1,1,5,Lost / Inactive
1263,31,25,258401.13,2,5,4,11,Loyal Customers
1264,14,15,147201.74,3,1,1,5,Lost / Inactive
1265,3,19,229624.88,5,3,3,11,Loyal Customers
1266,5,21,230740.51,4,4,3,11,Loyal Customers
1267,6,22,262326.48,4,4,4,12,Champions
1268,10,21,250443.01,4,4,3,11,Loyal Customers
1269,18,16,227213.30000000002,3,2,3,8,At Risk
1270,8,27,276023.71,4,5,4,13,Champions
1271,9,15,176135.23,4,1,1,6,At Risk
1272,13,31,380255.72,3,5,5,13,Champions
1273,15,13,151226.58000000002,3,1,1,5,Lost / Inactive
1274,0,18,201533.85,5,2,2,9,Loyal Customers
1275,10,16,213625.3,4,2,2,8,At Risk
1276,22,20,190419.38999999998,2,3,2,7,At Risk
1277,9,23,317482.89,4,4,5,13,Champions
1278,0,20,293539.0,5,3,4,12,Champions
1279,0,18,265636.43,5,2,4,11,Loyal Customers
1280,74,14,186275.66,1,1,2,4,Lost / Inactive
1281,2,23,242217.12,5,4,3,12,Champions
1282,2,27,395763.92,5,5,5,15,Champions
1283,17,20,262612.3,3,3,4,10,Loyal Customers
1284,25,22,294459.7,2,4,4,10,Loyal Customers
1285,11,18,184410.59,3,2,2,7,At Risk
1286,2,18,261338.78,5,2,4,11,Loyal Customers
1287,21,28,356847.64,2,5,5,12,Champions
1288,2,20,284523.87,5,3,4,12,Champions
1289,27,17,209805.2,2,2,2,6,At Risk
1290,1,18,234250.6,5,2,3,10,Loyal Customers
1291,5,20,225799.69999999998,4,3,3,10,Loyal Customers
1292,8,22,292042.0,4,4,4,12,Champions
1293,3,24,343991.5,5,5,5,15,Champions
1294,26,18,231171.47999999998,2,2,3,7,At Risk
1295,0,21,273007.92,5,4,4,13,Champions
1296,44,5,25926.3,1,1,1,3,Lost / Inactive
1297,2,15,198810.82,5,1,2,8,At Risk
1298,11,12,111491.34,3,1,1,5,Lost / Inactive
1299,78,9,89716.67,1,1,1,3,Lost / Inactive
1300,11,20,266672.46,3,3,4,10,Loyal Customers
1301,12,24,334448.5,3,5,5,13,Champions
1302,45,25,273119.2,1,5,4,10,Loyal Customers
1303,3,21,215105.53,5,4,2,11,Loyal Customers
1304,25,24,263157.55,2,5,4,11,Loyal Customers
1305,4,15,173305.55,5,1,1,7,At Risk
1306,5,15,203228.78,4,1,2,7,At Risk
1307,39,16,245537.49,1,2,3,6,At Risk
1308,0,17,179694.93,5,2,2,9,Loyal Customers
1309,0,27,265374.72,5,5,4,14,Champions
1310,80,15,228716.1,1,1,3,5,Lost / Inactive
1311,39,14,168434.16,1,1,1,3,Lost / Inactive
1312,3,29,421580.28,5,5,5,15,Champions
1313,19,24,249927.08000000002,2,5,3,10,Loyal Customers
1314,34,16,177133.81,1,2,1,4,Lost / Inactive
1315,24,22,332590.05,2,4,5,11,Loyal Customers
1316,19,14,199485.01,2,1,2,5,Lost / Inactive
1317,12,26,353570.68,3,5,5,13,Champions
1318,13,20,189466.54,3,3,2,8,At Risk
1319,17,20,256655.21000000002,3,3,3,9,Loyal Customers
1320,0,23,301660.98,5,4,4,13,Champions
1321,9,14,172037.13,4,1,1,6,At Risk
1322,26,18,315738.95,2,2,5,9,Loyal Customers
1323,0,22,231933.1,5,4,3,12,Champions
1324,29,20,200873.24,2,3,2,7,At Risk
1325,21,18,289332.36,2,2,4,8,At Risk
1326,21,19,271226.83,2,3,4,9,Loyal Customers
1327,7,23,261297.84,4,4,4,12,Champions
1328,5,13,121978.53,4,1,1,6,At Risk
1329,4,17,222535.19,5,2,3,10,Loyal Customers
1330,2,20,267589.03,5,3,4,12,Champions
1331,56,14,186643.16,1,1,2,4,Lost / Inactive
1332,47,15,167753.68,1,1,1,3,Lost / Inactive
1333,11,19,188259.83,3,3,2,8,At Risk
1334,20,18,249505.91,2,2,3,7,At Risk
1335,12,21,328170.44,3,4,5,12,Champions
1336,10,25,415391.37,4,5,5,14,Champions
1337,6,27,243468.43,4,5,3,12,Champions
1338,9,17,221320.3,4,2,3,9,Loyal Customers
1339,30,24,343843.71,2,5,5,12,Champions
1340,3,21,305375.66000000003,5,4,5,14,Champions
1341,4,18,145346.4,5,2,1,8,At Risk
1342,1,25,298178.61,5,5,4,14,Champions
1343,16,20,222653.56,3,3,3,9,Loyal Customers
1344,42,20,230008.66,1,3,3,7,At Risk
1345,14,19,260657.77,3,3,4,10,Loyal Customers
1346,30,15,200927.09,2,1,2,5,Lost / Inactive
1347,12,17,176513.67,3,2,1,6,At Risk
1348,31,22,302449.33999999997,2,4,5,11,Loyal Customers
1349,0,16,250698.53,5,2,3,10,Loyal Customers
1350,55,10,117894.92,1,1,1,3,Lost / Inactive
1351,3,20,178189.45,5,3,1,9,Loyal Customers
1352,62,13,177222.81,1,1,1,3,Lost / Inactive
1353,6,22,308556.19,4,4,5,13,Champions
1354,13,20,251411.21000000002,3,3,3,9,Loyal Customers
1355,9,19,296240.53,4,3,4,11,Loyal Customers
1356,8,18,241872.44,4,2,3,9,Loyal Customers
1357,37,12,118051.81,1,1,1,3,Lost / Inactive
1358,6,20,180115.56,4,3,2,9,Loyal Customers
1359,42,23,346059.94,1,4,5,10,Loyal Customers
1360,21,20,299767.71,2,3,4,9,Loyal Customers
1361,5,12,134436.59,4,1,1,6,At Risk
1362,13,19,319959.44,3,3,5,11,Loyal Customers
1363,55,24,372590.47000000003,1,5,5,11,Loyal Customers
1364,15,23,237734.72999999998,3,4,3,10,Loyal Customers
1365,16,20,293755.32,3,3,4,10,Loyal Customers
1366,37,18,231355.84,1,2,3,6,At Risk
1367,15,13,170071.46000000002,3,1,1,5,Lost / Inactive
1368,52,25,306914.19,1,5,5,11,Loyal Customers
1369,1,15,202013.56,5,1,2,8,At Risk
1370,6,25,274635.12,4,5,4,13,Champions
1371,31,17,218669.68,2,2,2,6,At Risk
1372,9,17,277107.59,4,2,4,10,Loyal Customers
1373,38,19,216065.95,1,3,2,6,At Risk
1374,4,25,355448.92,5,5,5,15,Champions
1375,14,26,318713.09,3,5,5,13,Champions
1376,7,21,272558.45,4,4,4,12,Champions
1377,4,22,249405.93,5,4,3,12,Champions
1378,22,26,240047.49,2,5,3,10,Loyal Customers
1379,10,20,273660.13,4,3,4,11,Loyal Customers
1380,1,25,283651.05,5,5,4,14,Champions
1381,2,17,191247.93,5,2,2,9,Loyal Customers
1382,5,19,241878.28,4,3,3,10,Loyal Customers
1383,24,17,190366.00999999998,2,2,2,6,At Risk
1384,22,20,286160.02,2,3,4,9,Loyal Customers
1385,30,19,247178.63,2,3,3,8,At Risk
1386,8,28,279471.18,4,5,4,13,Champions
1387,41,21,282116.58,1,4,4,9,Loyal Customers
1388,33,12,162290.27000000002,1,1,1,3,Lost / Inactive
1389,4,27,365789.89,5,5,5,15,Champions
1390,18,21,219984.47,3,4,2,9,Loyal Customers
1391,0,18,160017.92,5,2,1,8,At Risk
1392,4,21,233709.12,5,4,3,12,Champions
1393,1,15,204900.36000000002,5,1,2,8,At Risk
1394,76,14,148698.97,1,1,1,3,Lost / Inactive
1395,63,11,179358.44999999998,1,1,2,4,Lost / Inactive
1396,6,23,239881.93,4,4,3,11,Loyal Customers
1397,11,15,163956.43,3,1,1,5,Lost / Inactive
1398,80,20,206092.5,1,3,2,6,At Risk
1399,12,22,222264.98,3,4,3,10,Loyal Customers
1400,6,29,411168.36,4,5,5,14,Champions
1401,1,18,267223.13,5,2,4,11,Loyal Customers
1402,0,24,320109.01,5,5,5,15,Champions
1403,14,17,247555.75,3,2,3,8,At Risk
1404,7,28,308161.19,4,5,5,14,Champions
1405,79,15,116742.1,1,1,1,3,Lost / Inactive
1406,26,25,334239.52,2,5,5,12,Champions
1407,3,23,343971.99,5,4,5,14,Champions
1408,30,22,303524.26,2,4,5,11,Loyal Customers
1409,0,16,230246.8,5,2,3,10,Loyal Customers
1410,25,19,264178.81,2,3,4,9,Loyal Customers
1411,10,18,208619.27,4,2,2,8,At Risk
1412,15,21,259100.31,3,4,4,11,Loyal Customers
1413,0,20,247201.01,5,3,3,11,Loyal Customers
1414,30,15,192823.68,2,1,2,5,Lost / Inactive
1415,31,19,282531.55,2,3,4,9,Loyal Customers
1416,1,25,289115.22,5,5,4,14,Champions
1417,42,17,194881.87,1,2,2,5,Lost / Inactive
1418,47,16,228242.56,1,2,3,6,At Risk
1419,51,22,257255.3,1,4,4,9,Loyal Customers
1420,22,15,185728.08000000002,2,1,2,5,Lost / Inactive
1421,4,24,302799.79,5,5,5,15,Champions
1422,29,16,221385.17,2,2,3,7,At Risk
1423,10,27,317249.48,4,5,5,14,Champions
1424,24,26,333022.87,2,5,5,12,Champions
1425,2,23,264054.2,5,4,4,13,Champions
1426,16,21,301923.59,3,4,5,12,Champions
1427,21,24,339635.07999999996,2,5,5,12,Champions
1428,16,18,231316.05,3,2,3,8,At Risk
1429,58,13,150610.65,1,1,1,3,Lost / Inactive
1430,0,20,267440.85000000003,5,3,4,12,Champions
1431,33,19,213287.05,1,3,2,6,At Risk
1432,13,19,276568.45,3,3,4,10,Loyal Customers
1433,21,20,221372.53999999998,2,3,3,8,At Risk
1434,1,32,371422.83,5,5,5,15,Champions
1435,1,19,213503.66,5,3,2,10,Loyal Customers
1436,22,15,204697.49,2,1,2,5,Lost / Inactive
1437,4,19,347294.60000000003,5,3,5,13,Champions
1438,24,23,281433.58,2,4,4,10,Loyal Customers
1439,3,22,323559.52,5,4,5,14,Champions
1440,5,23,312207.29,4,4,5,13,Champions
1441,0,21,193940.13,5,4,2,11,Loyal Customers
1442,3,24,288352.08999999997,5,5,4,14,Champions
1443,17,21,270307.09,3,4,4,11,Loyal Customers
1444,30,21,312905.53,2,4,5,11,Loyal Customers
1445,4,26,447591.4,5,5,5,15,Champions
1446,5,19,233935.32,4,3,3,10,Loyal Customers
1447,17,16,213468.4,3,2,2,7,At Risk
1448,24,14,252318.27000000002,2,1,3,6,At Risk
1449,13,29,368067.82,3,5,5,13,Champions
1450,6,24,311053.83,4,5,5,14,Champions
1451,21,18,279817.07,2,2,4,8,At Risk
1452,51,17,142068.79,1,2,1,4,Lost / Inactive
1453,7,16,288984.59,4,2,4,10,Loyal Customers
1454,2,20,247575.38,5,3,3,11,Loyal Customers
1455,65,19,258563.08000000002,1,3,4,8,At Risk
1456,10,15,130221.48,4,1,1,6,At Risk
1457,49,14,165787.97,1,1,1,3,Lost / Inactive
1458,11,24,305560.9,3,5,5,13,Champions
1459,3,18,233822.38,5,2,3,10,Loyal Customers
1460,9,25,319236.22,4,5,5,14,Champions
1461,30,23,284988.71,2,4,4,10,Loyal Customers
1462,20,18,226552.94,2,2,3,7,At Risk
1463,12,15,201574.94,3,1,2,6,At Risk
1464,26,16,183484.78,2,2,2,6,At Risk
1465,45,16,257852.6,1,2,4,7,At Risk
1466,36,17,252471.6,1,2,3,6,At Risk
1467,50,16,177503.03,1,2,1,4,Lost / Inactive
1468,4,17,209160.75,5,2,2,9,Loyal Customers
1469,24,13,174459.99000000002,2,1,1,4,Lost / Inactive
1470,23,28,289943.32,2,5,4,11,Loyal Customers
1471,3,22,294549.86,5,4,4,13,Champions
1472,23,18,179249.82,2,2,2,6,At Risk
1473,16,23,216000.56,3,4,2,9,Loyal Customers
1474,60,15,211241.87,1,1,2,4,Lost / Inactive
1475,14,30,380989.89,3,5,5,13,Champions
1476,2,22,250536.95,5,4,3,12,Champions
1477,4,18,213677.33000000002,5,2,2,9,Loyal Customers
1478,41,12,216874.52,1,1,2,4,Lost / Inactive
1479,8,20,223899.0,4,3,3,10,Loyal Customers
1480,13,23,356552.49,3,4,5,12,Champions
1481,23,20,159226.91,2,3,1,6,At Risk
1482,47,16,214349.86000000002,1,2,2,5,Lost / Inactive
1483,10,12,160828.22999999998,4,1,1,6,At Risk
1484,14,25,354676.65,3,5,5,13,Champions
1485,101,12,117666.06,1,1,1,3,Lost / Inactive
1486,12,16,206983.85,3,2,2,7,At Risk
1487,8,14,171786.43000000002,4,1,1,6,At Risk
1488,33,17,184717.32,1,2,2,5,Lost / Inactive
1489,41,23,321393.8,1,4,5,10,Loyal Customers
1490,41,16,191292.45,1,2,2,5,Lost / Inactive
1491,13,16,207740.12,3,2,2,7,At Risk
1492,21,21,190900.83000000002,2,4,2,8,At Risk
1493,17,20,223227.73,3,3,3,9,Loyal Customers
1494,18,21,241065.49,3,4,3,10,Loyal Customers
1495,15,18,217294.02,3,2,2,7,At Risk
1496,60,20,246729.0,1,3,3,7,At Risk
1497,17,15,208599.35,3,1,2,6,At Risk
1498,24,20,275227.47000000003,2,3,4,9,Loyal Customers
1499,36,25,251353.8,1,5,3,9,Loyal Customers
